film.title,author,lead.actor.female,genre,year,rating,content
Kisses             ,gradyharp,1,drama,2010,NA,"Some may balk at naming this a Christmas movie because of the subject matter, while others will see the reason for terming this very near perfect film as such. First, it takes place at Christmas, and second it is a story as sweet as the Gift of the Magi as far as different tales on the concept of gift giving. Lance Daly both wrote and directed KISSES and cast two extraordinary young actors in the main roles. His use of black and white to color in filming and his decision to focus the musical score on the works of Bob Dylan are two further bits of evidence that this is a man with a solid career before him. In an unnamed little town in Ireland adjoining families live in rather squalid psychological conditions. Kylie (Kelly O'Neill) lives with her parents and siblings in a state of constant bickering and chaos: Kylie's uncle has in the past added his own brand of psychological trauma to her life as we hear later in the film. Next door lives Dylan (Shane Curry), a lad Kylie's age who lives with a severely abusive father and submissive mother. It is Christmas Eve and there is not a bit of joy in the air: Kylie is sent off to walk the baby and is verbally abused by schoolmates while Dylan finally is fed up with his father's behavior (Paul Roe) and after a scuffle flees out the window - with Kylie's help. The two youngsters cannot bear their disgusting family situations and off they go, finding a ride with a riverboat dredger captain (David Bendito) who introduces the to the songs of Bob Dylan. The two end up in Dublin where they struggle for food and shelter, encounter some rather gross behaving people, as well as meeting good people like Bob Dylan (Stephen Rea) for a moment and as they look for Dylan's long vanished brother they meet a street girl (Elizabeth Fuh) who when asked how she survives plying her trade tells Dylan that her only gift to people she meets is a kiss - and she gently kisses Dylan on the cheek. After finding that life on the streets of Dublin at night is very rough the two seek help from a policeman who helps them return to their homes. But a bond has been formed between Kylie and Dylan and the story just ends. Lance Daly is a sensitive director; the portions of the story taking place in the home of the kids are shot in black and white and it is only as Kylie and Dylan discover Bob Dylan's music courtesy of the dredger does the film gradually turn to color. He also is unafraid to show the joys of the two kids as they buy things in Dublin (Kylie's uncle gave her some hush money) and shoe skate around in their new found freedom and happiness, a factor that makes the rest of the story - which is rather dreary and sad - palatable. The two young actors are superb and the music of Bob Dylan floods the screen. This is a small budget film with a big message. And part of that message is about the significance of a simple gift. Grady Ha"
Wanted             ,theoneeggy,1,action,2008,1,"I watched this movie the other day, and I was actually quite excited. However, I was quickly turned from this opinion within the first 30 minutes of the movie. It got progressively worse until the ending, starting with the mass-murder/suicide and then the replay - revenge hit at the end of the movie. This ending was simply painful. Morgan Freeman is killing his career with movies like this. I appreciate the writers ability to adapt graphic novel to the big screen, but in all honesty this has to be the worst comic book or graphic novel movie ever. Save yourself the time and do something that will at least stimulate your brain: READ THE BOOK, forget the movie 1"
Good Dick             ,adamaant,1,misc,2010,9,"I'm a man and I just got out of a relationship very similar to the one pictured in this movie. From the sexual issues to the angry defensiveness. I can also relate to him in how he knew that underneath it she did love him, or care about him, that she had something that was holding her back.I can say that relationships like this are next to impossible though. Lucky for them both she decided to face her issues and that may have lead to something real. I would guess more often someone faced with these kind of emotional problems will end up losing to the problem rather than having it work out. My heart went out to both characters, but it was very hard to watch at times because I can remember times when my ex would say things to me like the character in the movie. And I tried for months to help her or move beyond our issues.Anyway great movie. I love Jason Ritter. Another good movie with him which he plays an utterly different kind of character is the education of Charlie Banks."
Gomorrah             ,Poluprostor,,crime,2008,1,"Gomorra...I've read some comments on how greatly it was directed and the brilliant script that fueled the film, yadda-yadda-yadda, so I thought I'd see the film for myself and well... Actually, it's so poor in every respect I don't know where begin!Directing? Mediocre at best! Characters? Lifeless, with a confusingly high level of retardation. Plot? I didn't see one, except for a bunch of quasi-gangster guys running around getting themselves killed and miserable people trying to get by. Should this be surprising, considering the level of corruption in Italy? Hardly. The whole world knows about Italy's general inability to cope with crime. It's practically an integral part of their government and people are lethargic about it. So, what purpose does this movie serve other than to point out the obvious? Apparently, none.My advice to you is go outside for a nice walk or watch something else instead. Over and out!"
Step Up 2: The Streets             ,nogazohar,0,misc,2008,1,"I saw this movie with my class today. I never saw ""Step Up""(the first one), but when I see a clichéd movie, I can recognize it. The story begins with a middle class girl called Andie-Who-Is-Motherless-And-Talented and her friends which are street dancers. Of course, Andie, who is nice and modest but full of talent in dancing, is getting into ""art academy""(or whatever it was) and meet a Nerd-But-Talented-Guy-Who-Likes-""Cool""-Music with a really long name that calls himself ""Moose""(sp?). Of course they became friends. Then, to make it more clichéd, she meets the Cool-Talented-Sexy-Guy, and at that moment I can bet they would end up together. Then we get to see the Cool-Beautiful-Girl-Who-Is-Really-Talented that wants the Cool-Talented-Guy. Of course our sweet heroine will have a CatFight with her on the Cool-Talented-Guy. And then, the teacher who is Taugh-But-Professional helps our Andie. Most of the kids in my class saw this movie before, so at the last second of the lesson, they wanted to fast forward and see the cool dance at the end. Then, we saw Andie orate about nonsense to a bunch of boys and girls about street dancing. In short, another wannabe realistic and clichéd film. A waste of time"
Wanted             ,axlrhodes,1,action,2009,6,"For the first half hour Wanted felt like a trailer.Adapted from a graphic novel the film never seems to settle,the actors seem ill at ease with the material and the impatience on the directors part leaves us with a messy hackneyed film of action set pieces and sci fi mumbo jumbo inbetween. The film tries far too hard to be cool which is a shame because im sure it could have been a better film if things would have just been done with a little less haste.James McAvoy,so convincing in Last King Of Scotland is hard to like in this role.Morgan Freeman seems totally non interested but to be fair hes given virtually nothing to do and just serves as filler between action scenes.Angelina Jolie is the real star of this film,she has astounding presence as an actress and suits the action genre,its just a shame we cant find a truly memorable action film for her to star in.In summary Wanted is a fast paced but legless action film that promises much but delivers very little.It leaves you wanting. "
The Escapist             ,jaredmobarak,,crime,2009,8,"While The Escapist may not have an all-star A-list cast, it has a pretty recognizable international one. When I saw the names attached to this thing, I couldn't believe that it had trouble finding distribution. Luckily IFC Films stepped up to the plate and will add it to their VOD schedule to get some exposure for its DVD release. Much like Unknown from a few years back, Rupert Wyatt's film is a hidden gem of intrigue and suspense. A disjointed narrative tells the story of a ragtag bunch of criminals looking to escape from a maximum security prison so that the orchestrator, Brian Cox's Frank Perry, can see his daughter before she dies from drug abuse complications on the outside. Each member of the team has a specialty necessary for the escape to work and/or finds his way on the team through trade, whether consciously or not. You do begin to wonder way Rupert has decided to show it all inter-spliced with flashbacks on how they got together, and when the conclusion is reached you will understand in a surprisingly satisfactory turn of events.Now these names may mean absolutely nothing to you, but on paper they are quite the collaborative team. Cox leads the way in recognition and stature, followed by a favorite of mine Damian Lewis, (in a smaller role than I had anticipated), and Joseph Fiennes. Add in the familiar faces of Steven Mackintosh, Liam Cunningham, Dominic Cooper, and singer Seu Jorge and you've really got something for a film that will probably not be seen by very many people. And that is the real shame here because The Escapist has a lot going for it. With a good marketing push and word of mouth, this had the potential of being a sleeper hit<U+0097>an indie done well. Hopefully IFC viewers will start spreading excitement and help it to achieve cult status of some sort. It may not be as mainstream as ""Prison Break"", but utilizing the same core idea, Wyatt culls together a unique tale that takes more from a film like Jacob's Ladder than pop culture television.It all begins with Cox's Perry, tired and scared, finding Lewis sitting on a cell bed. The next thing we know, Cox joins up with the team as they have just smashed their way into the laundry room, only now he has a bloodied shirt and what can be assumed as a nasty gash to his stomach. We have been dropped right into the escape and now the group is together, putting their plan in motion. But wait, all of sudden we are back in time watching Cox do laundry duty, Cunningham's Brodie putting on an ant race, and Mackintosh's Tony berating newcomer Cooper as he arrives at the prison. The discovery that we are about to go on a journey with the escapees, juxtaposed with how they all came together to plan the event, becomes clear. With sharp cuts, yet coherent story continuity, it all makes sense as both halves reach their crescendos at the end. The plot line of the past thread reaches the point at which the film started and that progression leads to the end of the escape simultaneously. Both meld together as one, revealing what has indeed been going on the entire time, possibly not even parallel timeframes after all.Complete with some very nice camera-work, Wyatt shows some skill as a director. Scenes like that of Mackintosh and Cooper in the showers, fog shrouding their advance into the water, shielding us from what we know is about to happen, really stick out. Even the trip to that end, with Cooper's Lacey being ""helped"" by guards and inmates, opening doors for him to ""hide"" in, plays nicely into the artistry and aesthetic being put on display. The prison is dark and dingy, yet a paradise in comparison with the large expanses of sewers they soon find themselves traveling through. It is a muted palette throughout, making the light at the end of the tunnel (both figuratively and literally) that much brighter in notion and reality. And the way in which we see things happen is with suspense and intrigue. Watching the inmates plan their escape with dominoes as we are shown the real life places they mimic along with extended sequences of rapid process cuts<U+0097>whether they be making drugs, creating a steel cutter, or even a jailhouse brawl<U+0097>many instances beg to be appreciated visually as well as for how well they advance the story.It all ends up being an actors' movie, though, as the performances shine above all else. Fiennes was almost unrecognizable to me at the start. I thought that was him, but something was off. Only after about thirty minutes did I finally realize it, Fiennes performing as a madman ""utility"" guy, nothing like the Shakespearean heroes he is most known for. Lewis is great as the menacing prison czar, always with a smile yet demanding the respect of every inmate with his own brand of punishment the guards look the other way on. And I really liked Seu Jorge's role as Viv Bastista. He is a wild card to the film<U+0097>librarian/drug cook/witness for Lewis' Rizza. What really makes them all so elusive and mysterious, however, even as we learn who they are as men, is the fact that we don't know what has landed any of them in jail. Are they killers? Thieves? Rapists? It doesn't matter. These men all come together for a common cause and work as a team to achieve it. They sacrifice themselves for the others, just as Cox realizes that freedom doesn't have to be of the body, but can also be of the mind."
WALL·E             ,isabelle1955,0,animation,2008,NA,"I very rarely give ten out of ten to a movie, but I have no hesitation in giving that perfect score to WALL-E. It is sublime. Not just the best animation I've seen in a long time, but simply one of the best movies I've seen in many months in terms of coherent and effective story-telling and seamless editing. It's extremely well put together. The animation is in a class of its own. My only slightly negative comment might be that clearly this isn't a movie aimed at little kids, and perhaps the marketing strategy is showing too much of the 'cute funnies' and not enough of the sheer artistry of Pixar's vision. This is not a bright, sunny view of the world where everyone lives happily ever after, but quite clearly a message movie; if you agree with the message, you will love this film.Disney may own Pixar these days, but there is an artistic divide between the two production styles. If you want predictable sentimentality watch Disney. I loved Disney's older classics but some of their later offerings <U+0096> with the exception of Beauty and the Beast which was very good - made me wince when I took my kids along. But in contrast I have loved every single film that Pixar have made since Toy Story in 1995, and if you want something more wry, but still possessing humour and heart, then Pixar is probably going to be your choice.The story is simple enough. It's the year 2700 and the earth has become uninhabitable, not through some terrible cataclysmic event, but by a slow accumulation of suffocating junk. It's a wasteland devoid of living things. As the opening shots pan in, we see that the skyscrapers are actually tall mounds of compressed trash, and that the compressing is being done by WALL-E (Waste Allocation Load Lifter <U+0096> Earth class), a small, solitary robot which keeps itself going by scavenging parts from all his clapped out siblings. WALL-E's only companion is a cockroach, and he fills in the time in his trailer home during long dust storms by watching an old video of Hello Dolly. WALL-E is an unlikely hero, rusty but trusty. I hesitate to use the word cute, endearing works better. One day he finds a single plant growing. He doesn't appreciate its significance but takes it home anyway where he squirrels it away with his other treasures such as a Rubic's Cube, a lighter and a trash can lid.Then a space ship lands and EVE emerges (Extraterrestrial Vegetation Evaluator). Eve is in a whole different class to WALL-E. She can fly, he is earth bound, she is sleek, dangerous and single minded while he is bumbling and rather dowdy. They communicate with beeps and eye twitches, and WALL-E is hooked. When WALL-E gives EVE the plant he has found, she recognizes that her directive <U+0096> to find evidence of photosynthesis on earth <U+0096> is fulfilled and shuts down. The ship comes back to pick her up and WALL-E clings on, desperate not to lose her. Arriving at the mother ship, we find the last remaining humans (apparently all American!) who have fled the earth at the behest of the CEO of Buy N Large, a conglomerate who ended up running everything. The humans are pretty much big, obese babies, who have lost the use of their legs and are spoon fed artificial food and platitudinous slogans in equal measure. The rest of the movie involves a plot by the auto pilot to take over the ship and keep it on course away from earth, while the captain tries to take it home, aided by WALL-E and an entertaining array of quirky malfunctioning robots let loose from the repair bay.Some of the best moments are to be found in WALL-E's interaction with everyday objects; a fire extinguisher for example, enables him to zip around in space in a balletic dance with EVE, he uses a lid as a hat to imitate the dancers he sees on his video screen. The humans are not presented as wicked or evil, just unthinking, and the movie ends on a positive and upbeat note, when they recover the use of their legs and return to earth to reclaim it as their home. There are nods to many classic sci-fi movies, Pixar's ubiquitous pizza truck is there near the beginning, and they are not beyond a little self criticism; there's a discarded iPod among WALL-E's accumulated junk.I found myself caring far more about the animated characters in WALL-E than the supposedly human ones in many 'regular' movies. Director Andrew Stanton and everyone at Pixar deserve huge credit for this movie and I hope it is an enormous financial hit for them. I also hope it gets an Oscar nomination, not for best animated feature, but for best film."
Quarantine             ,PIBecky,1,horror,2008,NA,"I found myself frustrated because the camera moved way too much. It started off okay but then the camera moved so much that it was frustrating to anyone who was watching it. The remarks by everyone in the theater made that real clear. I am a private investigator and would loose my clients if I ever let my camera take that type of film. My film has never looked that bad, even when running, crawling or driving. A qualified cameraperson would have never moved the camera that much. It was impossible to see what was really going on in the movie and who was who during most of the time. Whenever a person was observed who had the rabies could not really be seen. The only thing the movie showed was people standing, running or sitting with foam running down their mouth It made me feel sick, frustrated and difficult to enjoy the movie. I was disappointed and would not refer anyone to see this movie."
Space Chimps             ,mungflesh,,animation,2009,4,"The writing in Space Chimps feels very Family Guy esquire, which I am not at all a fan of.Whilst there's (virtually) no offensive language or crudeness, the gags almost solely depend on quick-fire references to other films and TV shows etc. For me, this gets tedious and is a very lazy way to write comedy IMO. For my 3 1/2 year old, it's not possible for him to understand any of the references. He's too young for Space Chimps and if I had known, I wouldn't have taken him. Even for 8 year-olds I think the references would be way before their time. It's as if the gags are written ONLY for adults, which to me puts the film in a no-mans land where it is neither for kids nor their parents.The way CGI films should be made, is that a script meant for real actors, which is technically too costly to achieve ""in the flesh"", can then be made using CGI. In reality, there's probably a think-tank of people who design the visuals and then the script, which is why many of these ventures are weak"
